id,name,secore
74,Special Duties,0.0
 759491,The Exploited,0.017690836177082874
 335,PJ Harvey,0.012868689854015881
 25462,Tricky,0.010382130324411118
 66915,Bob Dylan,1.4222340410979004
 71209,Leonard Cohen,0.09677927832287858
 91438,The Gun Club,0.023045195421271782
 113823,Chrissie Hynde,0.007707368939950913
 132710,Crime & the City Solution,0.003169023583422597
 208582,Lesley Gore,0.015751412448981532
 378288,Massive Attack,0.031033086834433784
 397880,Nick Cave,0.03663230481847083
 489999,The Raincoats,0.03684624766237551
 492331,Pretenders,0.06378460873596727
 615119,Tom Waits,0.04414628884014723
 651107,Marianne Faithfull,0.028365872848298845
 747445,Patti Smith,0.11030143818436972
 755156,Sonic Youth,0.1177230594638274
 838272,Pere Ubu,0.07952317052858394
 895136,Pixies,0.08245904766728258
 899530,The Smiths,0.07661769537690448
 960690,X,0.07860877613550539
 988638,Captain Beefheart,0.08836313846574764
 441,P.O.D.,0.0
 75264,Bad Brains,0.08686075866168985
 91650,Black Flag,0.2271849541212302
 112789,Korn,0.008256169426196154
 134729,Faith No More,0.029374415194719547
 175775,Eek-A-Mouse,0.004941031810658261
 295756,Santana,0.038317477076296846
 359326,Primus,0.016107340633597526
 446509,Metallica,0.1069980301637497
 485135,311,0.0045744304657151695
 579839,Suicidal Tendencies,0.049963980727157443
 741746,Sepultura,0.018584233773363157
 789064,Extreme,0.005109968657201332
 790820,Tool,0.01559538326251234
 796045,Fishbone,0.0162340979259094
 806829,Jane's Addiction,0.05846761662056969
 825087,Living Colour,0.017513430667161763
 863790,Rage Against the Machine,0.020284746842699337
 883318,Red Hot Chili Peppers,0.05154179065627422
 589,Tony Furtado,0.0
 151290,Bla Fleck,0.0028834125169912733
 286662,Sam Bush,0.0011435949354686057
 748421,Trey Anastasio,0.0
 1098,Soundgarden,0.032004179327921496
 5953,Alice Cooper,0.217517562860112
 12654,Spinal Tap,0.007484929261015507
 59537,Blue Cheer,0.11117076844977887
 61938,Blue ¨Cyster Cult,0.0541364775781766
 81493,Killing Joke,0.07428826783808071
 84209,Kiss,0.19390225947377443
